Genre:IMAX,Genre:Musical,Genre:Thriller,Genre:Comedy,Genre:Western,Genre:Drama,Genre:Adventure,Genre:Mystery,Genre:Fantasy,Genre:Action,Genre:Crime,Genre:Animation,Genre:Horror,Genre:Documentary,Genre:Sci-Fi,Genre:Romance,Genre:War,Genre:(no genres listed),Genre:Children,Genre:Film-Noir,Cluster,Size
0,0,0,5021,0,1767,0,0,0,0,0,0,5,0,0,0,0,0,0,0,72,5021
0,5,0,69,0,3972,10,0,0,0,0,7,0,0,1,0,0,0,4,0,84,4028
0,0,8,1,2,83,0,0,4,0,0,0,27,3284,2,0,0,0,16,0,124,3284
0,0,0,0,0,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2699
0,0,1,2012,0,809,0,0,0,5,1,0,0,0,0,2035,0,0,0,0,27,2035
0,0,0,35,0,1596,0,0,0,0,0,0,0,0,0,1977,0,0,0,0,29,1977
0,0,0,0,0,194,0,0,0,0,0,0,1935,0,0,0,0,0,0,0,59,1935
0,0,1753,11,1,847,1,0,0,25,0,0,1,12,0,5,0,0,9,0,14,1760
0,0,1181,0,3,214,0,0,0,0,0,0,1181,0,0,1,0,0,0,0,64,1181
0,0,0,0,0,419,0,0,0,929,0,0,0,0,0,0,0,0,0,0,68,929
0,0,0,103,0,45,0,9,0,10,0,39,0,822,2,10,3,0,2,0,9,822
0,0,0,0,0,572,0,0,0,0,692,0,0,3,0,0,0,0,0,0,116,692
0,0,653,0,0,440,0,0,0,10,653,0,0,2,0,2,0,0,1,0,89,653
0,8,0,79,0,475,0,0,1,3,0,0,0,51,0,22,628,0,0,0,10,628
0,0,619,0,0,200,0,0,0,619,0,0,0,1,0,0,0,0,0,0,92,619
0,0,0,152,0,145,0,0,0,0,0,0,0,0,582,0,0,0,0,0,7,582
0,0,0,70,0,44,2,0,0,88,0,0,502,0,502,1,2,0,0,0,1,502
0,0,0,120,0,230,1,0,0,493,493,0,0,0,0,6,1,0,2,0,22,493
0,0,0,452,0,26,0,0,0,0,0,0,452,0,0,0,0,0,0,0,75,452
0,0,434,0,0,171,0,0,0,433,434,0,0,0,0,7,0,0,1,0,122,434
0,0,2,3,419,77,0,14,0,7,1,0,25,0,1,2,0,0,0,0,56,419
0,0,368,1,0,84,0,1,0,160,0,0,0,0,371,6,0,0,0,0,42,371
0,0,0,368,0,56,0,0,0,368,0,0,0,0,0,0,0,0,0,0,95,368
0,0,0,97,0,78,1,2,0,2,0,361,0,0,0,40,0,0,0,0,2,361
0,0,356,0,0,192,0,356,0,0,4,0,0,0,0,1,0,0,0,0,76,356
0,0,355,0,0,82,0,355,0,0,0,1,354,0,0,2,0,0,2,0,50,355
0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,354,0,70,354
0,0,0,116,0,22,0,1,0,0,0,317,1,0,0,3,0,0,317,0,58,317
0,0,0,1,0,127,312,1,0,286,0,0,3,0,0,31,1,0,0,0,4,312
0,0,4,304,0,103,0,2,1,1,307,4,0,0,0,0,0,0,16,0,13,307
0,0,0,292,0,90,0,0,0,0,0,0,0,4,1,0,0,0,298,0,103,298
0,0,8,130,0,77,10,6,31,7,0,47,33,6,7,6,0,0,116,0,30,284
0,0,271,20,0,145,0,271,0,40,271,0,0,0,4,2,0,0,0,0,49,271
0,0,0,40,0,27,0,0,1,267,0,1,1,0,267,0,0,0,0,0,52,267
0,0,0,14,0,126,254,0,0,0,0,0,0,0,0,0,0,0,0,0,102,254
0,0,238,32,1,27,0,1,0,53,0,0,223,0,238,0,0,0,0,0,20,238
0,0,0,1,0,30,225,1,0,140,0,0,18,0,224,8,0,0,0,0,43,225
