MovieID,cluster
1,28
2,101
3,27
4,27
5,72
6,122
7,27
8,17
9,68
10,6
11,27
12,75
13,82
14,84
15,4
16,116
17,29
18,72
19,72
20,108
21,108
22,117
23,122
24,7
25,29
26,90
27,70
28,29
29,105
30,44
31,84
32,5
34,70
35,29
36,116
37,99
38,103
39,27
40,84
41,10
42,22
43,84
44,26
45,61
46,29
47,76
48,115
49,29
50,49
51,92
52,27
53,102
54,103
55,84
57,30
58,27
60,101
61,14
62,84
63,13
64,27
65,72
66,42
67,90
69,72
70,96
71,68
72,72
73,10
74,29
75,72
76,42
78,122
79,14
80,70
81,45
82,72
83,29
85,29
86,4
87,103
88,72
89,92
92,64
93,51
94,27
95,6
96,30
97,116
98,92
99,9
100,14
101,15
102,72
103,5
104,72
105,29
107,129
109,61
110,113
111,89
112,15
113,78
114,90
116,124
117,116
118,27
119,72
120,12
122,27
123,47
124,84
125,72
126,101
127,84
129,27
130,84
131,29
132,14
134,124
135,72
140,29
141,72
144,72
145,108
146,17
147,90
148,84
149,89
150,99
151,113
152,59
153,15
154,84
155,74
156,72
157,10
158,17
159,81
160,60
161,21
162,9
163,85
164,39
165,122
166,13
167,84
168,36
169,17
170,93
171,72
172,42
173,33
174,72
175,84
176,72
177,59
178,72
179,29
180,27
181,38
182,29
183,118
184,84
185,122
186,27
187,72
188,32
189,25
190,14
191,29
193,84
194,72
195,27
196,1
197,90
198,49
199,40
200,14
201,77
202,29
203,72
204,68
205,72
206,124
207,29
208,43
209,90
210,56
211,84
212,81
213,84
214,10
215,29
216,72
217,14
218,72
219,90
220,59
222,29
223,72
224,27
225,14
226,14
227,92
228,72
229,14
230,14
231,12
232,27
233,84
234,72
235,72
236,36
237,27
238,17
239,82
240,14
241,70
242,40
243,18
244,58
245,116
246,9
247,116
248,72
249,29
250,103
251,68
252,27
253,59
254,84
255,72
256,7
257,76
258,101
259,89
260,43
261,90
262,70
263,90
264,84
265,35
266,126
267,72
268,116
270,29
271,90
272,72
273,1
274,72
275,30
276,27
277,30
279,90
280,14
281,27
282,84
283,116
284,22
286,42
287,27
288,122
289,27
290,116
292,42
293,122
294,27
295,27
296,108
297,84
298,84
300,90
302,29
303,24
304,72
305,72
306,90
307,84
308,72
309,84
310,72
311,64
312,72
313,58
314,88
315,92
316,43
317,25
318,116
319,61
320,67
321,90
322,72
324,72
325,72
326,84
327,52
328,64
329,43
330,23
331,84
332,1
333,72
334,84
335,76
336,10
337,90
338,42
339,27
340,74
341,90
342,72
343,70
344,72
345,72
346,40
347,67
348,72
349,122
350,76
351,27
352,72
353,91
354,90
355,18
356,10
357,27
358,90
359,27
360,95
361,27
362,101
363,124
364,63
365,84
366,50
367,91
368,46
369,90
370,95
371,72
372,27
373,14
374,103
375,84
376,92
377,120
378,27
379,42
380,120
381,29
382,51
383,56
384,22
385,90
386,84
387,95
389,127
390,22
391,116
392,110
393,26
396,90
397,59
398,124
399,90
400,84
402,72
405,57
407,64
408,90
409,116
410,18
411,9
412,84
413,72
414,72
415,61
416,56
417,27
418,90
419,72
420,108
421,17
422,14
423,92
424,90
425,29
426,20
427,47
428,84
429,72
430,72
431,116
432,46
433,72
434,6
435,7
436,14
437,72
438,95
439,84
440,27
441,72
442,43
444,27
445,72
446,29
447,27
448,90
449,72
450,72
451,47
452,84
453,27
454,14
455,17
456,89
457,14
458,56
459,93
460,72
461,29
462,4
463,89
464,93
465,113
466,113
468,27
469,29
470,72
471,72
472,72
473,10
474,92
475,90
476,72
477,40
478,13
479,122
480,6
481,14
482,89
483,84
484,17
485,26
486,72
487,121
488,29
489,72
490,14
491,90
492,55
493,22
494,6
495,84
496,83
497,27
498,29
499,27
500,72
501,90
502,38
503,90
504,52
505,72
506,35
507,89
508,90
509,29
510,90
511,68
512,1
513,55
514,30
515,29
516,72
517,86
518,72
519,33
520,72
521,89
522,68
523,90
524,90
525,90
526,90
527,10
528,72
529,90
530,90
531,70
532,104
533,105
534,29
535,90
536,90
537,84
538,84
539,27
540,14
541,42
542,27
543,83
544,22
546,53
547,6
548,86
550,27
551,87
552,0
553,24
554,89
555,89
556,124
558,54
559,72
560,90
561,14
562,72
563,29
564,72
565,59
566,27
567,72
568,72
569,72
570,72
574,72
575,103
580,84
581,124
582,72
583,72
584,29
585,72
586,103
587,19
588,87
589,52
590,46
591,92
592,122
593,23
594,87
595,87
596,87
597,27
598,119
599,46
600,22
601,84
603,72
605,29
606,25
608,108
609,17
610,41
611,1
612,72
613,29
614,14
616,58
617,72
618,27
619,72
621,90
626,72
627,14
628,49
630,29
631,87
632,10
633,72
634,72
635,72
636,90
637,72
638,29
639,72
640,14
641,17
647,98
648,60
649,72
650,90
651,72
652,50
653,26
656,72
657,72
659,89
660,84
661,87
662,14
663,72
664,72
665,10
667,68
668,84
670,84
671,7
673,53
674,125
675,14
676,1
679,84
680,80
681,116
682,9
684,90
685,90
688,74
692,42
694,22
695,76
696,14
697,29
698,84
700,72
702,84
703,90
704,4
706,90
707,89
708,27
709,87
710,72
711,17
712,11
713,90
714,56
716,116
719,72
723,84
724,19
725,72
726,90
728,72
729,90
731,89
732,116
733,6
734,72
735,59
736,120
737,52
741,107
742,64
743,72
745,58
746,67
747,72
748,42
750,10
751,72
753,27
754,17
755,70
757,84
759,124
760,10
761,4
762,13
764,29
765,72
766,84
767,72
773,90
774,84
775,73
777,10
778,13
779,29
780,6
781,84
782,14
783,115
784,61
785,72
786,92
788,31
790,84
795,90
796,90
797,72
798,6
799,118
800,56
801,103
802,29
803,27
804,27
805,14
806,116
807,27
808,17
809,4
810,18
813,72
815,86
818,72
820,84
823,84
825,27
828,17
829,48
830,72
831,84
832,89
833,72
834,72
835,84
836,6
837,18
838,27
839,92
840,103
841,59
842,75
846,84
847,72
848,90
849,6
850,44
851,84
852,27
853,84
854,84
858,116
860,72
861,108
862,90
865,90
866,11
867,13
868,72
869,108
870,72
872,84
874,116
876,108
877,72
879,64
880,42
881,103
882,14
885,18
886,22
891,64
892,27
893,84
895,84
896,84
897,74
898,27
899,106
900,40
901,8
902,29
903,47
904,76
905,27
906,14
907,106
908,120
909,27
910,13
911,11
912,29
913,67
914,106
915,27
916,27
917,70
918,40
919,129
920,127
921,72
922,67
923,78
924,43
925,74
926,90
927,72
928,47
929,67
930,67
931,47
932,29
933,11
934,72
935,8
936,27
937,27
938,40
939,72
940,4
942,39
943,35
944,84
945,106
946,10
947,27
948,85
949,90
950,13
951,27
952,12
953,30
954,84
955,27
956,29
958,55
959,84
960,116
961,84
963,40
964,85
965,76
967,56
968,20
969,74
970,15
971,90
973,72
974,29
975,8
976,127
977,78
980,68
981,84
982,90
984,72
