MovieID,cluster
1,-1
2,-1
3,0
4,0
5,1
6,2
7,0
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,3
15,-1
16,15
17,4
18,1
19,23
20,-1
21,-1
22,-1
23,2
24,-1
25,4
26,3
27,-1
28,4
29,-1
30,-1
31,3
32,-1
34,5
35,4
36,-1
37,-1
38,-1
39,0
40,3
41,-1
42,-1
43,3
44,25
45,-1
46,4
47,-1
48,-1
49,4
50,-1
51,22
52,0
53,-1
54,-1
55,3
57,-1
58,0
60,-1
61,6
62,3
63,-1
64,0
65,1
66,-1
67,3
69,1
70,-1
71,7
72,1
73,-1
74,4
75,1
76,-1
78,2
79,6
80,-1
81,-1
82,1
83,-1
85,4
86,-1
87,-1
88,1
89,22
92,-1
93,-1
94,-1
95,-1
96,8
97,-1
98,-1
99,-1
100,6
101,-1
102,1
103,-1
104,1
105,-1
107,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,3
116,9
117,-1
118,0
119,1
120,-1
122,0
123,-1
124,3
125,1
126,-1
127,-1
129,0
130,3
131,4
132,6
134,9
135,-1
140,4
141,1
144,1
145,-1
146,-1
147,3
148,3
149,-1
150,-1
151,-1
152,-1
153,-1
154,3
155,-1
156,1
157,-1
158,-1
159,-1
160,-1
161,-1
162,9
163,-1
164,-1
165,2
166,-1
167,3
168,-1
169,-1
170,-1
171,1
172,-1
173,-1
174,1
175,3
176,1
177,10
178,1
179,4
180,0
181,-1
182,4
183,-1
184,-1
185,-1
186,0
187,1
188,-1
189,-1
190,-1
191,-1
193,3
194,1
195,0
196,11
197,-1
198,-1
199,-1
200,6
201,-1
202,4
203,1
204,28
205,1
206,9
207,-1
208,-1
209,3
210,12
211,3
212,-1
213,3
214,13
215,4
216,1
217,6
218,1
219,3
220,10
222,4
223,1
224,-1
225,-1
226,6
227,22
228,18
229,-1
230,6
231,-1
232,40
233,3
234,1
235,1
236,-1
237,0
238,-1
239,-1
240,6
241,5
242,-1
243,-1
244,14
245,15
246,9
247,-1
248,1
249,41
250,-1
251,16
252,0
253,10
254,3
255,1
256,-1
257,-1
258,-1
259,20
260,34
261,3
262,-1
263,3
264,3
265,-1
266,-1
267,-1
268,15
270,4
271,3
272,-1
273,-1
274,1
275,8
276,0
277,-1
279,3
280,6
281,0
282,3
283,-1
284,-1
286,-1
287,-1
288,-1
289,0
290,-1
292,-1
293,-1
294,-1
295,0
296,-1
297,3
298,17
300,3
302,4
303,-1
304,1
305,1
306,3
307,3
308,1
309,3
310,1
311,29
312,1
313,14
314,-1
315,-1
316,34
317,-1
318,15
319,-1
320,-1
321,3
322,1
324,1
325,1
326,17
327,-1
328,-1
329,-1
330,-1
331,3
332,-1
333,18
334,3
335,-1
336,13
337,3
338,-1
339,0
340,-1
341,17
342,1
343,-1
344,1
345,1
346,-1
347,-1
348,1
349,2
350,-1
351,0
352,1
353,-1
354,3
355,-1
356,-1
357,0
358,3
359,0
360,-1
361,0
362,-1
363,9
364,-1
365,3
366,-1
367,-1
368,-1
369,3
370,-1
371,1
372,0
373,6
374,-1
375,3
376,-1
377,-1
378,0
379,-1
380,-1
381,-1
382,-1
383,12
384,30
385,3
386,3
387,-1
389,-1
390,-1
391,-1
392,-1
393,-1
396,-1
397,10
398,9
399,-1
400,3
402,1
405,-1
407,-1
408,3
409,-1
410,-1
411,-1
412,3
413,1
414,1
415,-1
416,12
417,-1
418,-1
419,1
420,-1
421,-1
422,6
423,22
424,3
425,-1
426,-1
427,-1
428,3
429,-1
430,1
431,15
432,-1
433,1
434,-1
435,-1
436,-1
437,1
438,-1
439,3
440,-1
441,1
442,-1
444,0
445,1
446,19
447,0
448,3
449,1
450,1
451,-1
452,3
453,0
454,6
455,-1
456,20
457,6
458,12
459,-1
460,1
461,4
462,-1
463,20
464,-1
465,21
466,-1
468,-1
469,-1
470,1
471,1
472,1
473,-1
474,22
475,3
476,1
477,-1
478,-1
479,-1
480,-1
481,6
482,-1
483,3
484,-1
485,-1
486,1
487,-1
488,19
489,1
490,-1
491,3
492,-1
493,-1
494,-1
495,17
496,-1
497,-1
498,-1
499,0
500,1
501,3
502,-1
503,3
504,-1
505,1
506,-1
507,20
508,3
509,4
510,3
511,-1
512,11
513,-1
514,8
515,4
516,1
517,-1
518,1
519,-1
520,-1
521,-1
522,-1
523,3
524,3
525,3
526,3
527,13
528,1
529,3
530,3
531,-1
532,-1
533,-1
534,4
535,3
536,3
537,3
538,3
539,0
540,6
541,-1
542,0
543,-1
544,30
546,-1
547,-1
548,-1
550,0
551,-1
552,-1
553,-1
554,20
555,20
556,9
558,-1
559,1
560,3
561,6
562,1
563,-1
564,1
565,-1
566,0
567,1
568,-1
569,1
570,1
574,1
575,-1
580,3
581,9
582,1
583,1
584,4
585,1
586,-1
587,-1
