Genre:IMAX,Genre:Musical,Genre:Thriller,Genre:Comedy,Genre:Western,Genre:Drama,Genre:Adventure,Genre:Mystery,Genre:Fantasy,Genre:Action,Genre:Crime,Genre:Animation,Genre:Horror,Genre:Documentary,Genre:Sci-Fi,Genre:Romance,Genre:War,Genre:(no genres listed),Genre:Children,Genre:Film-Noir,Cluster,Size
0,0,1,0,0,25,1,2,0,0,5,5,2,1472,1,0,3,0,1,0,14,1472
0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1340
0,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1243
0,0,1167,0,1,210,0,0,0,0,0,1,1167,6,0,7,1,0,0,0,4,1167
0,0,1,1055,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1055
0,0,5,1024,0,292,3,0,0,0,0,0,3,0,0,0,1,0,0,0,25,1024
0,0,0,955,0,409,0,0,0,0,0,1,0,0,1,0,1,0,0,0,51,955
0,2,0,0,7,85,0,0,0,0,0,2,954,11,0,10,2,0,2,0,81,954
0,0,8,885,2,302,0,2,0,0,0,0,14,1,4,885,1,0,0,0,72,885
0,0,8,1,0,47,19,0,1,6,4,1,0,879,5,0,0,0,3,0,10,879
0,0,1,770,0,196,0,1,0,0,0,7,3,0,0,0,0,0,0,0,19,770
0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,765
0,2,62,57,0,566,43,6,8,0,8,9,10,52,2,1,741,0,4,0,30,741
0,0,0,0,0,571,6,1,0,0,720,2,1,26,2,0,0,0,1,0,2,720
0,0,679,0,4,458,1,0,2,0,679,1,0,1,2,0,2,0,1,0,18,679
0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,677
0,0,0,0,1,11,1,0,2,1,2,3,0,671,1,1,2,0,4,0,96,671
0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,670
0,0,1,0,0,74,0,0,0,0,0,2,617,0,0,2,0,0,0,0,26,617
0,0,0,601,0,221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,601
0,0,0,0,2,442,0,0,0,0,0,1,2,0,6,583,0,0,0,0,121,583
0,0,3,561,0,241,0,2,0,0,0,3,2,1,2,561,1,0,0,0,95,561
0,0,561,0,1,260,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,561
0,1,0,0,0,256,0,1,1,559,0,4,0,0,0,2,0,0,2,0,32,559
0,0,554,6,0,176,0,0,1,554,0,2,1,1,0,0,1,0,0,0,101,554
1,2,70,549,1,32,12,1,3,0,8,2,549,0,0,4,1,0,2,0,13,549
