MovieID,cluster
1,20
2,21
3,72
4,72
5,69
6,74
7,72
8,7
9,32
10,71
11,73
12,13
13,48
14,27
15,60
16,2
17,52
18,51
19,8
20,45
21,59
22,23
23,74
24,50
25,121
26,129
27,15
28,121
29,98
30,88
31,89
32,75
34,15
35,121
36,2
37,64
38,116
39,72
40,27
41,30
42,119
43,22
44,36
45,59
46,121
47,54
48,82
49,52
50,9
51,101
52,72
53,65
54,90
55,79
57,0
58,95
60,21
61,34
62,79
63,84
64,72
65,69
66,28
67,87
69,51
70,46
71,32
72,69
73,30
74,121
75,51
76,28
78,74
79,123
80,90
81,110
82,69
83,66
85,52
86,91
87,116
88,25
89,101
92,4
93,73
94,95
95,71
96,0
97,2
98,101
99,24
100,34
101,31
102,51
103,75
104,25
105,66
107,82
109,59
110,17
111,18
112,106
113,41
114,87
116,24
117,2
118,72
119,69
120,3
122,72
123,76
124,79
125,69
126,21
127,22
129,95
130,22
131,111
132,34
134,96
135,8
140,121
141,69
144,8
145,45
146,7
147,92
148,22
149,18
150,64
151,17
152,26
153,106
154,87
155,30
156,25
157,30
158,7
159,9
160,35
161,30
162,86
163,55
164,29
165,74
166,84
167,89
168,60
169,7
170,106
171,120
172,28
173,119
174,25
175,89
176,19
177,81
178,69
179,121
180,72
181,67
182,111
183,13
184,22
185,74
186,95
187,69
188,114
189,53
190,44
191,52
193,79
194,69
195,72
196,99
197,124
198,28
199,33
200,44
201,12
202,52
203,19
204,32
205,69
206,14
207,111
208,35
209,27
210,94
211,22
212,68
213,56
214,30
215,111
216,69
217,123
218,120
219,87
220,81
222,111
223,25
224,73
225,34
226,34
227,101
228,25
229,34
230,34
231,3
232,109
233,87
234,69
235,19
236,60
237,72
238,7
239,20
240,44
241,15
242,16
243,53
244,48
245,2
246,86
247,2
248,25
249,66
250,116
251,67
252,95
253,81
254,87
255,25
256,11
257,54
258,21
259,18
260,35
261,87
262,15
263,87
264,89
265,39
266,77
267,8
268,2
270,121
271,87
272,120
273,99
274,69
275,0
276,72
277,0
279,129
280,34
281,95
282,22
283,2
284,119
286,28
287,73
288,74
289,72
290,2
292,28
293,74
294,73
295,73
296,59
297,79
298,102
300,92
302,52
303,55
304,51
305,19
306,87
307,79
308,8
309,89
310,69
311,4
312,51
313,48
314,53
315,101
316,35
317,53
318,2
319,59
320,29
321,129
322,69
324,51
325,51
326,102
327,11
328,4
329,78
330,46
331,89
332,99
333,25
334,56
335,54
336,30
337,87
338,28
339,72
340,30
341,102
342,51
343,15
344,25
345,51
346,16
347,29
348,69
349,74
350,54
351,72
352,19
353,36
354,92
355,53
356,95
357,95
358,92
359,72
360,128
361,73
362,62
363,10
364,82
365,22
366,70
367,45
368,108
369,89
370,128
371,25
372,95
373,34
374,90
375,87
376,101
377,40
378,72
379,28
380,60
381,111
382,40
383,94
384,119
385,87
386,89
387,128
389,77
390,119
391,2
392,37
393,36
396,27
397,81
398,10
399,89
400,89
402,19
405,36
407,4
408,92
409,2
410,53
411,105
412,89
413,19
414,25
415,59
416,94
417,73
418,124
419,25
420,45
421,7
422,44
423,101
424,92
425,52
426,100
427,97
428,89
429,8
430,51
431,2
432,108
433,25
434,71
435,11
436,44
437,25
438,128
439,79
440,73
441,69
442,35
444,95
445,25
446,76
447,72
448,87
449,19
450,51
451,97
452,22
453,72
454,34
455,7
456,18
457,34
458,94
459,106
460,25
461,121
462,91
463,18
464,106
465,17
466,17
468,72
469,66
470,69
471,25
472,69
473,30
474,101
475,27
476,69
477,16
478,84
479,74
480,35
481,34
482,18
483,56
484,7
485,3
486,25
487,108
488,121
489,51
490,44
491,87
492,68
493,119
494,71
495,102
496,40
497,73
498,111
499,72
500,69
501,27
502,62
503,87
504,103
505,51
506,39
507,18
508,27
509,111
510,87
511,32
512,99
513,73
514,0
515,52
516,25
517,80
518,25
519,28
520,8
521,18
522,32
523,87
524,92
525,87
526,87
527,30
528,25
529,92
530,89
531,15
532,84
533,36
534,52
535,87
536,87
537,79
538,79
539,72
540,44
541,28
542,72
543,40
544,119
546,42
547,71
548,80
550,72
551,112
552,60
553,55
554,18
555,18
556,14
558,93
559,51
560,87
561,123
562,51
563,52
564,25
565,81
566,72
567,8
568,8
569,25
570,120
574,69
575,116
580,22
581,14
582,69
583,25
584,121
585,19
586,116
587,39
588,82
589,103
590,108
591,101
592,74
593,23
594,82
595,82
596,82
597,72
598,12
599,108
600,45
601,102
603,69
605,121
606,6
608,59
609,7
610,5
611,113
612,69
613,121
614,44
616,48
617,69
618,73
619,69
621,87
626,69
627,34
628,9
630,121
631,82
632,30
633,69
634,8
635,69
636,27
637,8
638,121
639,25
640,44
641,7
647,17
648,80
649,83
650,87
651,120
652,70
653,36
656,25
657,69
659,18
660,22
661,82
662,123
663,8
664,51
665,30
667,67
668,56
670,56
671,11
673,38
674,11
675,101
676,11
679,89
680,75
681,2
682,127
684,87
685,87
688,17
692,28
694,119
695,54
696,123
697,121
698,56
700,69
702,87
703,87
704,91
706,92
707,18
708,73
709,82
710,25
711,7
712,40
713,129
714,94
716,2
719,69
723,89
724,6
725,25
726,27
728,69
729,87
731,18
732,2
733,71
734,51
735,26
736,40
737,103
741,50
742,4
743,8
745,104
746,29
747,25
748,28
750,30
751,13
753,72
754,7
755,15
757,102
759,14
760,30
761,91
762,84
764,121
765,69
766,27
767,120
773,87
774,22
775,126
777,30
778,84
779,111
780,35
781,87
782,92
783,82
784,59
785,69
786,101
788,38
790,56
795,129
796,87
797,51
798,71
799,13
800,94
801,116
802,52
803,72
804,72
805,34
806,2
807,95
808,7
809,91
810,53
813,19
815,80
818,69
820,56
823,22
825,72
828,7
829,122
830,51
831,89
832,18
833,25
834,51
835,89
836,71
837,53
838,72
839,101
840,116
841,85
842,13
846,89
847,69
848,87
849,35
850,88
851,79
852,73
853,79
854,102
858,2
860,69
861,45
862,89
865,87
866,40
867,84
868,69
869,16
870,8
872,102
874,2
876,45
877,51
879,4
880,117
881,90
882,34
885,53
886,45
891,4
892,95
893,124
895,22
896,89
897,77
898,95
899,33
900,33
901,122
902,121
903,97
904,54
905,73
906,44
907,33
908,80
909,73
910,84
911,97
912,52
913,29
914,33
915,72
916,72
917,15
918,16
919,82
920,77
921,19
922,29
923,41
924,78
925,77
926,87
927,51
928,97
