MovieID,cluster
1,107
2,33
3,108
4,108
5,118
6,70
7,108
8,122
9,92
10,1
11,16
12,34
13,86
14,117
15,116
16,101
17,72
18,115
19,121
20,56
21,22
22,6
23,70
24,24
25,72
26,23
27,28
28,72
29,44
30,69
31,124
32,75
34,28
35,72
36,69
37,77
38,55
39,108
40,2
41,17
42,85
43,23
44,105
45,15
46,72
47,19
48,49
49,114
50,6
51,39
52,108
53,31
54,55
55,0
57,99
58,4
60,33
61,15
62,0
63,52
64,108
65,121
66,38
67,23
69,91
70,125
71,92
72,36
73,17
74,72
75,18
76,38
78,70
79,95
80,28
81,101
82,118
83,26
85,72
86,116
87,50
88,18
89,39
92,61
93,106
94,16
95,1
96,118
97,69
98,39
99,77
100,15
101,52
102,91
103,75
104,115
105,114
107,50
109,15
110,83
111,22
112,42
113,43
114,99
116,82
117,30
118,108
119,18
120,36
122,108
123,123
124,111
125,18
126,33
127,46
129,4
130,99
131,62
132,15
134,53
135,87
140,72
141,118
144,121
145,56
146,122
147,93
148,46
149,35
150,80
151,83
152,25
153,42
154,23
155,73
156,18
157,119
158,122
159,113
160,63
161,127
162,82
163,14
164,6
165,70
166,52
167,124
168,20
169,122
170,70
171,118
172,38
173,85
174,87
175,12
176,45
177,9
178,118
179,72
180,108
181,20
182,62
183,61
184,8
185,70
186,4
187,18
188,57
189,58
190,102
191,114
193,0
194,18
195,108
196,109
197,2
198,75
199,96
200,51
201,47
202,114
203,45
204,20
205,118
206,82
207,72
208,63
209,2
210,14
211,99
212,113
213,46
214,17
215,62
216,118
217,95
218,118
219,99
220,78
222,62
223,91
224,108
225,51
226,15
227,1
228,115
229,41
230,15
231,18
232,104
233,99
234,18
235,45
236,10
237,108
238,122
239,64
240,95
241,28
242,94
243,13
244,49
245,101
246,112
247,69
248,87
249,114
250,55
251,40
252,108
253,78
254,99
255,87
256,91
257,19
258,33
259,22
260,63
261,99
262,28
263,23
264,99
265,90
266,14
267,87
268,101
270,72
271,99
272,11
273,109
274,118
275,115
276,108
277,99
279,23
280,15
281,4
282,99
283,30
284,27
286,38
287,108
288,70
289,108
290,69
292,38
293,70
294,108
295,108
296,22
297,111
298,29
300,2
302,114
303,39
304,91
305,45
306,99
307,0
308,11
309,12
310,118
311,61
312,91
313,49
314,13
315,39
316,63
317,58
318,101
319,15
320,81
321,23
322,118
324,91
325,36
326,29
327,128
328,98
329,54
330,89
331,99
332,67
333,115
334,0
335,19
336,119
337,99
338,38
339,108
340,73
341,29
342,91
343,28
344,18
345,91
346,94
347,81
348,118
349,70
350,19
351,108
352,118
353,70
354,93
355,13
356,4
357,4
358,124
359,108
360,10
361,16
362,122
363,82
364,86
365,46
366,68
367,56
368,76
369,99
370,10
371,18
372,4
373,15
374,55
375,46
376,39
377,39
378,108
379,38
380,42
381,62
382,61
383,14
384,85
385,99
386,124
387,10
389,119
390,30
391,30
392,86
393,105
396,2
397,25
398,82
399,124
400,124
402,45
405,105
407,98
408,93
409,30
410,13
411,126
412,12
413,45
414,115
415,15
416,14
417,108
418,117
419,115
420,56
421,122
422,102
423,39
424,93
425,26
426,37
427,19
428,12
429,121
430,91
431,101
432,76
433,18
434,1
435,128
436,102
437,18
438,10
439,111
440,16
441,36
442,63
444,108
445,18
446,123
447,108
448,99
449,45
450,36
451,43
452,99
453,108
454,15
455,122
456,35
457,15
458,14
459,70
460,87
461,72
462,116
463,22
464,70
465,83
466,83
468,16
469,26
470,118
471,115
472,118
473,119
474,39
475,2
476,118
477,94
478,52
479,70
480,38
481,51
482,110
483,46
484,122
485,105
486,118
487,76
488,114
489,91
490,51
491,99
492,43
493,85
494,1
495,29
496,108
497,108
498,62
499,108
500,118
501,2
502,28
503,12
504,60
505,118
506,90
507,35
508,2
509,62
510,99
511,92
512,109
513,16
514,118
515,114
516,115
517,43
518,91
519,38
520,121
521,22
522,92
523,99
524,93
525,99
526,99
527,17
528,115
529,93
530,2
531,28
532,106
533,105
534,72
535,99
536,99
537,23
538,12
539,108
540,51
541,38
542,108
543,16
544,85
546,44
547,1
548,75
550,108
551,74
552,42
553,14
554,22
555,35
556,7
558,107
559,91
560,99
