userId,cluster
4169,1
1680,11
4277,0
1941,12
1181,1
889,11
3618,1
2063,2
1150,11
1015,0
5795,6
4344,6
1980,1
2909,1
1449,11
4510,1
424,1
5831,6
4227,10
3391,2
3841,14
4508,11
1088,13
5367,2
3808,1
549,8
1285,2
3224,9
3539,1
4543,3
5643,6
1448,0
752,0
524,1
3824,12
4448,9
3032,1
4064,1
4725,4
1010,1
5954,5
678,1
1447,2
4447,4
2116,2
550,1
1605,1
3526,3
1698,3
1880,1
1912,2
3778,1
3292,8
4425,1
4808,1
1019,6
3507,1
3311,2
881,9
2181,1
6016,6
2106,11
2015,2
4647,11
5812,1
2820,1
6036,3
710,11
4312,14
1647,14
4979,3
2777,2
4386,4
5026,12
2304,7
352,1
5046,0
531,9
1051,1
1676,2
3163,3
2507,2
3626,12
1958,6
5100,8
5394,1
2907,4
3675,1
5636,1
5333,1
1733,9
4041,0
869,11
3272,1
5614,1
3401,1
4085,8
3067,1
5256,0
482,9
5788,1
2665,5
3471,2
1383,1
3829,6
4238,0
3792,8
195,7
5627,1
2529,10
1340,1
5111,3
1317,1
1613,11
216,13
3705,1
1635,1
2793,1
2857,1
302,2
4682,1
3650,1
1837,3
4482,6
1425,13
1737,11
839,1
1835,10
1632,0
1579,1
4083,9
4021,11
329,1
245,0
3029,2
5074,1
770,2
1899,8
1117,9
1451,11
2109,0
5880,6
4957,3
4387,2
3999,12
1203,6
4140,1
5605,3
1120,2
2010,2
3410,6
5387,6
2092,6
2544,6
4048,6
1422,12
3491,0
3821,11
1266,2
5433,12
5511,6
509,3
319,8
5312,6
2986,2
5220,1
5054,3
1264,6
3308,11
3768,2
1884,11
1470,2
3476,1
4089,1
660,0
5916,11
3934,1
4728,10
1812,7
2878,11
984,0
3610,8
4579,2
3589,1
1354,3
2077,1
4305,12
3562,8
1943,2
53,1
4732,9
5763,6
1112,8
1303,10
4016,1
699,1
3681,1
3336,12
543,4
202,2
721,10
3842,0
3519,9
3312,2
4033,8
3483,1
1897,3
1741,1
5530,2
3884,1
3280,1
1194,6
5015,8
2073,2
731,0
4802,6
1671,1
4186,1
5536,0
411,6
4354,9
3823,1
877,1
692,1
5306,12
2453,1
5550,3
1988,6
855,3
2124,1
3285,2
3648,2
3182,7
148,12
2934,11
1889,9
2962,0
4867,0
3475,9
1207,1
1780,6
5888,11
1242,1
4054,0
1298,8
1764,1
3929,4
4411,2
1465,0
3018,1
2012,2
1069,11
123,10
5682,1
3942,2
5107,1
5878,1
1920,1
438,5
48,2
1496,12
1068,2
3693,3
2887,0
4345,9
149,6
533,7
5996,1
3683,3
3885,1
1748,1
5504,1
1274,1
331,1
5675,9
1926,1
3724,8
528,1
1125,2
2030,2
1224,13
5759,6
5493,7
3389,1
1246,2
3118,1
1050,6
1137,2
5747,1
1675,8
3834,3
3462,2
4578,1
3320,6
5501,3
1749,3
5011,2
308,3
173,1
2041,11
1333,1
850,1
