ClusterID,Male-Female Distribution,Average Age Group in Cluster,Occupation Ranking by Number,Genres Ranked by Score
-1,"M:648, F:327",29.83,"K-12 student:145, doctor/health care:138, clerical/admin:124",N/A
0,"M:137, F:37",37.83,self-employed:174,"Film-Noir: 4.083, Documentary: 3.931, War: 3.916, Drama: 3.787, Animation: 3.744, Crime: 3.736, Mystery: 3.698, Musical: 3.688, Romance: 3.601, Western: 3.596, Thriller: 3.560, Comedy: 3.501, Adventure: 3.500, Action: 3.495, Fantasy: 3.490, Sci-Fi: 3.487, Children's: 3.451, Horror: 3.268"
1,"M:125, F:65",30.42,artist:190,"Film-Noir: 4.090, Documentary: 4.015, War: 3.851, Drama: 3.721, Mystery: 3.704, Crime: 3.659, Animation: 3.612, Western: 3.600, Musical: 3.598, Romance: 3.579, Thriller: 3.550, Comedy: 3.492, Sci-Fi: 3.480, Action: 3.441, Adventure: 3.427, Fantasy: 3.398, Children's: 3.360, Horror: 3.237"
2,"M:165, F:54",30.88,sales/marketing:219,"Film-Noir: 4.102, Documentary: 3.943, War: 3.904, Drama: 3.778, Animation: 3.750, Crime: 3.728, Musical: 3.726, Western: 3.698, Mystery: 3.667, Thriller: 3.600, Fantasy: 3.592, Romance: 3.592, Comedy: 3.543, Children's: 3.518, Action: 3.515, Adventure: 3.509, Sci-Fi: 3.476, Horror: 3.309"
3,"M:158, F:62",30.84,writer:220,"Film-Noir: 4.110, Documentary: 3.944, War: 3.786, Animation: 3.695, Musical: 3.670, Drama: 3.647, Crime: 3.641, Western: 3.619, Mystery: 3.593, Romance: 3.464, Thriller: 3.451, Comedy: 3.413, Sci-Fi: 3.383, Children's: 3.347, Adventure: 3.345, Fantasy: 3.335, Action: 3.334, Horror: 3.191"
4,"M:258, F:38",29.75,programmer:296,"Film-Noir: 4.132, War: 3.937, Documentary: 3.839, Drama: 3.834, Western: 3.793, Crime: 3.759, Mystery: 3.738, Animation: 3.690, Romance: 3.677, Thriller: 3.657, Musical: 3.598, Comedy: 3.593, Action: 3.563, Adventure: 3.551, Sci-Fi: 3.548, Fantasy: 3.484, Children's: 3.425, Horror: 3.352"
5,"M:313, F:38",31.95,technician/engineer:351,"Film-Noir: 4.037, Documentary: 4.026, War: 3.917, Drama: 3.789, Animation: 3.721, Crime: 3.703, Musical: 3.655, Romance: 3.651, Western: 3.650, Mystery: 3.645, Thriller: 3.603, Comedy: 3.576, Action: 3.547, Adventure: 3.541, Fantasy: 3.520, Sci-Fi: 3.502, Children's: 3.472, Horror: 3.190"
6,"M:225, F:142",35.60,academic/educator:367,"Film-Noir: 4.064, Documentary: 3.985, War: 3.877, Drama: 3.742, Musical: 3.689, Animation: 3.686, Mystery: 3.653, Crime: 3.646, Western: 3.622, Romance: 3.594, Thriller: 3.505, Comedy: 3.505, Children's: 3.450, Fantasy: 3.442, Adventure: 3.406, Sci-Fi: 3.384, Action: 3.375, Horror: 3.098"
7,"M:371, F:85",34.11,executive/managerial:456,"Film-Noir: 4.006, Documentary: 3.932, War: 3.895, Drama: 3.753, Crime: 3.716, Animation: 3.696, Musical: 3.664, Mystery: 3.663, Thriller: 3.612, Western: 3.611, Romance: 3.606, Action: 3.548, Comedy: 3.504, Adventure: 3.492, Sci-Fi: 3.491, Fantasy: 3.452, Children's: 3.434, Horror: 3.212"
8,"M:403, F:147",20.47,college/grad student:550,"Film-Noir: 4.032, Documentary: 3.962, War: 3.852, Drama: 3.740, Crime: 3.708, Animation: 3.646, Musical: 3.637, Mystery: 3.574, Romance: 3.551, Western: 3.518, Thriller: 3.504, Comedy: 3.476, Action: 3.437, Sci-Fi: 3.409, Adventure: 3.408, Fantasy: 3.360, Children's: 3.340, Horror: 3.164"
9,"M:341, F:0",29.09,other or not specified:341,"Film-Noir: 4.018, Documentary: 3.851, War: 3.816, Drama: 3.703, Western: 3.621, Animation: 3.595, Crime: 3.593, Musical: 3.563, Mystery: 3.513, Romance: 3.488, Thriller: 3.435, Comedy: 3.415, Adventure: 3.373, Action: 3.373, Sci-Fi: 3.363, Fantasy: 3.334, Children's: 3.311, Horror: 3.097"
10,"M:0, F:158",30.14,other or not specified:158,"Film-Noir: 4.108, Documentary: 3.927, War: 3.914, Animation: 3.859, Musical: 3.834, Drama: 3.799, Crime: 3.760, Children's: 3.729, Mystery: 3.717, Romance: 3.691, Comedy: 3.640, Thriller: 3.616, Fantasy: 3.599, Western: 3.574, Adventure: 3.527, Action: 3.491, Sci-Fi: 3.466, Horror: 3.178"
