MovieID,cluster
1,36
2,51
3,88
4,88
5,103
6,76
7,88
8,56
9,105
10,48
11,88
12,66
13,37
14,104
15,47
16,77
17,87
18,103
19,103
20,76
21,80
22,58
23,76
24,31
25,87
26,104
27,96
28,87
29,-1
30,77
31,104
32,20
34,96
35,87
36,77
37,1
38,95
39,88
40,104
41,16
42,107
43,104
44,50
45,100
46,87
47,70
48,3
49,87
50,72
51,91
52,88
53,53
54,95
55,104
57,104
58,88
60,51
61,99
62,104
63,78
64,88
65,103
66,33
67,104
69,103
70,67
71,105
72,103
73,16
74,87
75,103
76,33
78,76
79,99
80,96
81,74
82,103
83,87
85,87
86,54
87,95
88,103
89,91
92,68
93,66
94,88
95,48
96,103
97,77
98,91
99,101
100,99
101,74
102,103
103,20
104,103
105,87
107,57
109,100
110,15
111,79
112,55
113,71
114,104
116,101
117,77
118,88
119,103
120,52
122,88
123,71
124,104
125,103
126,51
127,104
129,88
130,104
131,87
132,99
134,101
135,103
140,87
141,103
144,103
145,76
146,56
147,104
148,104
149,79
150,1
151,13
152,65
153,55
154,104
155,12
156,103
157,17
158,56
159,73
160,22
161,14
162,101
163,8
164,0
165,76
166,78
167,104
168,85
169,56
170,48
171,103
172,33
173,107
174,103
175,104
176,103
177,65
178,103
179,87
180,88
181,105
182,87
183,69
184,104
185,76
186,88
187,103
188,59
189,97
190,99
191,87
193,104
194,103
195,88
196,26
197,104
198,72
199,3
200,99
201,98
202,87
203,103
204,105
205,103
206,101
207,87
208,22
209,104
210,11
211,104
212,73
213,104
214,16
215,87
216,103
217,99
218,103
219,104
220,65
222,87
223,103
224,88
225,99
226,99
227,91
228,103
229,99
230,99
231,52
232,88
233,104
234,103
235,103
236,85
237,88
238,56
239,42
240,99
241,96
242,6
243,90
244,41
245,77
246,101
247,77
248,103
249,87
250,95
251,105
252,88
253,65
254,104
255,103
256,32
257,70
258,51
259,79
260,22
261,104
262,96
263,104
264,104
265,94
266,8
267,103
268,77
270,87
271,104
272,103
273,26
274,103
275,103
276,88
277,104
279,104
280,99
281,88
282,104
283,77
284,108
286,33
287,88
288,76
289,88
290,77
292,33
293,76
294,88
295,88
296,80
297,104
298,104
300,104
302,87
303,9
304,103
305,103
306,104
307,104
308,103
309,104
310,103
311,68
312,103
313,41
314,89
315,91
316,22
317,97
318,77
319,100
320,0
321,104
322,103
324,103
325,103
326,104
327,30
328,68
329,23
330,62
331,104
332,26
333,103
334,104
335,70
336,16
337,104
338,33
339,88
340,12
341,104
342,103
343,96
344,103
345,103
346,6
347,0
348,103
349,76
350,70
351,88
352,103
353,76
354,104
355,90
356,13
357,88
358,104
359,88
360,106
361,88
362,56
363,101
364,-1
365,104
366,60
367,81
368,7
369,104
370,106
371,103
372,88
373,99
374,95
375,104
376,91
377,82
378,88
379,33
380,48
381,87
382,68
383,11
384,107
385,104
386,104
387,106
389,13
390,107
391,77
392,35
393,50
396,104
397,65
398,101
399,104
400,104
402,103
405,86
407,68
408,104
409,77
410,90
411,102
412,104
413,103
414,103
415,100
416,11
417,88
418,104
419,103
420,76
421,56
422,99
423,91
424,104
425,87
426,24
427,82
428,104
429,103
430,103
431,77
432,7
433,103
434,48
435,32
436,99
437,103
438,106
439,104
440,88
441,103
442,22
444,88
445,103
446,87
447,88
448,104
449,103
450,103
451,71
452,104
453,88
454,99
455,56
456,79
457,99
458,11
459,76
460,103
461,87
462,54
463,79
464,48
465,15
466,15
468,88
469,87
470,103
471,103
472,103
473,17
474,91
475,104
476,103
477,6
478,78
479,76
480,21
481,99
482,79
483,104
484,56
485,50
486,103
487,10
488,87
489,103
490,99
491,104
492,71
493,107
494,48
495,104
496,82
497,88
498,87
499,88
500,103
501,104
502,83
503,104
504,30
505,103
506,94
507,79
508,104
509,87
510,104
511,105
512,26
513,88
514,103
515,87
516,103
517,71
518,103
519,33
520,103
521,79
522,105
523,104
524,104
525,104
526,104
527,16
528,103
529,104
530,104
531,96
532,62
533,50
534,87
535,104
536,104
537,104
538,104
539,88
540,99
541,33
542,88
543,82
544,107
546,-1
547,48
548,70
550,88
551,39
552,47
553,9
554,79
555,79
556,101
558,36
559,103
560,104
561,99
562,103
563,87
564,103
565,65
566,88
567,103
568,103
569,103
570,103
574,103
575,95
580,104
581,101
582,103
583,103
584,87
585,103
586,95
587,93
588,38
589,30
590,7
591,91
592,76
593,61
594,39
595,-1
596,39
597,88
598,97
599,7
600,81
601,104
603,103
605,87
606,63
608,80
609,56
610,19
611,25
612,103
613,87
614,99
616,41
617,103
618,88
619,103
621,104
626,103
627,99
628,72
630,87
631,-1
632,16
633,103
634,103
635,103
636,104
637,103
638,87
639,103
640,99
641,57
647,15
648,48
649,103
650,104
651,103
652,60
653,50
656,103
657,103
659,79
660,104
661,36
662,99
663,103
664,103
665,17
667,105
